"ID","DAY","SEX","LINE","SEED","VIAL","YEAR","eclosing","EVENT","TRT"
"M1_A_V1_2015",14,"f","M1","A","V1","2015",12,1,"M"
"M1_A_V1_2015",15,"f","M1","A","V1","2015",6,1,"M"
"M1_A_V1_2015",16,"f","M1","A","V1","2015",4,1,"M"
"M1_A_V1_2015",17,"f","M1","A","V1","2015",20,1,"M"
"M1_A_V1_2015",19,"f","M1","A","V1","2015",2,1,"M"
"M1_A_V1_2015",21,"f","M1","A","V1","2015",4,0,"M"
"M1_A_V1_2015",14,"m","M1","A","V1","2015",13,1,"M"
"M1_A_V1_2015",15,"m","M1","A","V1","2015",10,1,"M"
"M1_A_V1_2015",16,"m","M1","A","V1","2015",2,1,"M"
"M1_A_V1_2015",17,"m","M1","A","V1","2015",19,1,"M"
"M1_A_V1_2015",18,"m","M1","A","V1","2015",3,1,"M"
"M1_A_V1_2015",21,"m","M1","A","V1","2015",5,0,"M"
"M1_A_V2_2015",15,"f","M1","A","V2","2015",2,1,"M"
"M1_A_V2_2015",16,"f","M1","A","V2","2015",17,1,"M"
"M1_A_V2_2015",17,"f","M1","A","V2","2015",27,1,"M"
"M1_A_V2_2015",18,"f","M1","A","V2","2015",2,1,"M"
"M1_A_V2_2015",21,"f","M1","A","V2","2015",3,0,"M"
"M1_A_V2_2015",16,"m","M1","A","V2","2015",8,1,"M"
"M1_A_V2_2015",17,"m","M1","A","V2","2015",36,1,"M"
"M1_A_V2_2015",18,"m","M1","A","V2","2015",1,1,"M"
"M1_A_V2_2015",21,"m","M1","A","V2","2015",4,0,"M"
"M1_A_V3_2015",15,"f","M1","A","V3","2015",1,1,"M"
"M1_A_V3_2015",16,"f","M1","A","V3","2015",24,1,"M"
"M1_A_V3_2015",17,"f","M1","A","V3","2015",15,1,"M"
"M1_A_V3_2015",21,"f","M1","A","V3","2015",10,0,"M"
"M1_A_V3_2015",16,"m","M1","A","V3","2015",13,1,"M"
"M1_A_V3_2015",17,"m","M1","A","V3","2015",25,1,"M"
"M1_A_V3_2015",19,"m","M1","A","V3","2015",1,1,"M"
"M1_A_V3_2015",21,"m","M1","A","V3","2015",11,0,"M"
"M1_A_V4_2015",13,"f","M1","A","V4","2015",8,1,"M"
"M1_A_V4_2015",14,"f","M1","A","V4","2015",8,1,"M"
"M1_A_V4_2015",15,"f","M1","A","V4","2015",17,1,"M"
"M1_A_V4_2015",16,"f","M1","A","V4","2015",6,1,"M"
"M1_A_V4_2015",21,"f","M1","A","V4","2015",8,0,"M"
"M1_A_V4_2015",13,"m","M1","A","V4","2015",4,1,"M"
"M1_A_V4_2015",14,"m","M1","A","V4","2015",7,1,"M"
"M1_A_V4_2015",15,"m","M1","A","V4","2015",19,1,"M"
"M1_A_V4_2015",16,"m","M1","A","V4","2015",13,1,"M"
"M1_A_V4_2015",21,"m","M1","A","V4","2015",10,0,"M"
"M1_A_V5_2015",14,"f","M1","A","V5","2015",11,1,"M"
"M1_A_V5_2015",15,"f","M1","A","V5","2015",36,1,"M"
"M1_A_V5_2015",16,"f","M1","A","V5","2015",7,1,"M"
"M1_A_V5_2015",17,"f","M1","A","V5","2015",1,1,"M"
"M1_A_V5_2015",21,"f","M1","A","V5","2015",7,0,"M"
"M1_A_V5_2015",14,"m","M1","A","V5","2015",1,1,"M"
"M1_A_V5_2015",15,"m","M1","A","V5","2015",21,1,"M"
"M1_A_V5_2015",16,"m","M1","A","V5","2015",7,1,"M"
"M1_A_V5_2015",17,"m","M1","A","V5","2015",1,1,"M"
"M1_A_V5_2015",21,"m","M1","A","V5","2015",8,0,"M"
"M1_A_V6_2015",15,"f","M1","A","V6","2015",1,1,"M"
"M1_A_V6_2015",16,"f","M1","A","V6","2015",11,1,"M"
"M1_A_V6_2015",17,"f","M1","A","V6","2015",38,1,"M"
"M1_A_V6_2015",20,"f","M1","A","V6","2015",1,1,"M"
"M1_A_V6_2015",21,"f","M1","A","V6","2015",4,0,"M"
"M1_A_V6_2015",16,"m","M1","A","V6","2015",3,1,"M"
"M1_A_V6_2015",17,"m","M1","A","V6","2015",29,1,"M"
"M1_A_V6_2015",18,"m","M1","A","V6","2015",8,1,"M"
