Treatment,Rep,Sex,Seed,Slide,Individual,Side,Area,Mean,Min,Max,Length
M,R4,F,B,1,3,L,20128.949,170.015,105.362,225.321,2410.159
M,R2,F,C,2,5,L,19434.847,157.723,87.56,213.164,2325.919
M,R2,F,C,1,1,L,20614.82,144.914,83.452,209.862,2470.473
M,R2,M,C,1,3,L,18116.054,178.971,99.608,228.982,2166.981
M,R2,F,C,1,2,L,19990.128,155.051,86.989,211.325,2392.005
M,R4,F,C,3,3,L,19781.898,149.249,83.394,209.223,2367.27
M,R4,M,B,1,3,L,17421.952,175.63,109.14,214.49,2085.217
M,R4,F,C,3,1,L,20059.538,159.693,72.208,229.314,2403.295
M,R4,M,C,1,1,R,18116.054,166.896,88.85,215.579,2168.454
M,R3,F,A,3,4,R,18046.644,170.752,108.716,237.923,2158.685
M,R4,M,C,3,5,L,17838.413,153.416,72.105,205.454,2133.848
M,R4,F,B,1,4,L,19365.437,159.389,101.404,208.227,2317.054
M,R3,F,A,1,2,L,19504.257,168.83,111.273,202.946,2332.906
M,R4,F,C,1,3,L,19990.128,156.936,82.462,219.287,2391.425
M,R2,M,C,3,5,R,17838.413,156.379,77.953,204.956,2137.115
M,R3,F,A,2,4,L,19573.667,163.187,107.52,196.978,2346.434
M,R4,M,B,2,4,L,17977.233,139.387,83.203,202.457,2154.823
M,R3,F,A,1,5,L,18879.566,175.664,121.667,228.576,2263.119
M,R4,F,C,2,3,L,19990.128,161.817,75.343,222.704,2393.282
M,R4,M,B,1,1,L,17699.593,151.392,83.028,210.985,2117.128
M,R4,M,B,1,2,L,17213.722,169.56,116.066,220.211,2059.444
M,R4,M,C,1,3,L,18185.464,167.585,74.588,223.088,2179.74
M,R4,M,B,3,2,L,17907.823,163.494,96.481,211.293,2145.413
M,R4,F,C,2,2,L,19851.308,152.189,64.799,209.027,2380.472
M,R2,M,C,3,2,L,18046.644,159.223,76.136,210.599,2158.492
M,R2,M,C,1,5,L,17699.593,169.25,103.452,207.187,2118.062
M,R3,F,A,1,1,L,19504.257,173.816,117.715,214.398,2338.701
M,R2,F,C,2,3,L,17283.132,175.725,123.544,215.28,2069.949
M,R4,M,B,3,4,L,17699.593,153.411,62.926,216.452,2121.975
M,R3,F,A,2,1,L,19157.206,177.78,95.333,211.837,2296.185
M,R4,F,C,2,5,L,20267.769,155.068,71.727,210.401,2425.561
M,R4,M,C,2,5,L,17560.772,149.9,83.333,208.285,2100.077
M,R4,M,B,2,5,L,17699.593,156.076,80.125,209.177,2120.339
M,R3,F,A,1,3,L,19157.206,164.965,109.656,198.708,2295.565
M,R4,M,B,1,5,L,17769.003,164.182,96.667,203.595,2126.827
M,R4,F,B,1,1,L,18948.976,165.478,103.221,210.173,2266.49
M,R2,M,C,1,2,L,17907.823,165.283,97.213,208.808,2144.636
