Vial,Treatment,Replicate,Sex,Death_date,Death_time
1,M,R1,f,05/02/2017,14
1,M,R1,f,05/02/2017,18
1,M,R1,f,06/02/2017,0
2,M,R1,f,05/02/2017,22
2,M,R1,f,05/02/2017,22
2,M,R1,f,06/02/2017,8
3,M,R1,f,06/02/2017,2
3,M,R1,f,06/02/2017,2
3,M,R1,f,06/02/2017,4
4,M,R1,f,05/02/2017,22
4,M,R1,f,06/02/2017,4
4,M,R1,f,06/02/2017,8
5,M,R1,f,05/02/2017,16
5,M,R1,f,05/02/2017,22
5,M,R1,f,06/02/2017,0
6,M,R1,f,06/02/2017,2
6,M,R1,f,06/02/2017,6
6,M,R1,f,06/02/2017,8
7,M,R1,f,05/02/2017,22
7,M,R1,f,06/02/2017,6
7,M,R1,f,06/02/2017,8
8,M,R1,f,05/02/2017,22
8,M,R1,f,05/02/2017,22
8,M,R1,f,06/02/2017,2
9,M,R1,f,05/02/2017,22
9,M,R1,f,06/02/2017,6
9,M,R1,f,06/02/2017,18
1,P,R1,f,06/02/2017,4
1,P,R1,f,06/02/2017,4
1,P,R1,f,06/02/2017,8
2,P,R1,f,05/02/2017,22
2,P,R1,f,06/02/2017,10
2,P,R1,f,06/02/2017,12
3,P,R1,f,06/02/2017,2
3,P,R1,f,06/02/2017,2
3,P,R1,f,06/02/2017,6
4,P,R1,f,05/02/2017,22
4,P,R1,f,05/02/2017,22
4,P,R1,f,06/02/2017,4
5,P,R1,f,06/02/2017,0
5,P,R1,f,06/02/2017,4
5,P,R1,f,06/02/2017,10
6,P,R1,f,05/02/2017,22
6,P,R1,f,06/02/2017,0
6,P,R1,f,06/02/2017,6
7,P,R1,f,06/02/2017,0
7,P,R1,f,06/02/2017,4
7,P,R1,f,06/02/2017,6
8,P,R1,f,06/02/2017,0
8,P,R1,f,06/02/2017,0
8,P,R1,f,06/02/2017,2
9,P,R1,f,06/02/2017,0
9,P,R1,f,06/02/2017,6
9,P,R1,f,06/02/2017,6
1,M,R2,f,06/02/2017,2
1,M,R2,f,06/02/2017,2
1,M,R2,f,06/02/2017,2
2,M,R2,f,05/02/2017,16
2,M,R2,f,06/02/2017,4
2,M,R2,f,06/02/2017,14
3,M,R2,f,05/02/2017,8
3,M,R2,f,05/02/2017,14
3,M,R2,f,05/02/2017,18
4,M,R2,f,05/02/2017,14
4,M,R2,f,05/02/2017,16
4,M,R2,f,05/02/2017,22
5,M,R2,f,05/02/2017,10
5,M,R2,f,05/02/2017,18
5,M,R2,f,05/02/2017,20
6,M,R2,f,05/02/2017,16
6,M,R2,f,05/02/2017,18
6,M,R2,f,06/02/2017,0
7,M,R2,f,05/02/2017,6
7,M,R2,f,05/02/2017,10
7,M,R2,f,05/02/2017,14
8,M,R2,f,05/02/2017,20
8,M,R2,f,05/02/2017,22
8,M,R2,f,06/02/2017,0
9,M,R2,f,05/02/2017,10
9,M,R2,f,05/02/2017,20
9,M,R2,f,05/02/2017,20
1,P,R2,f,06/02/2017,4
1,P,R2,f,06/02/2017,8
1,P,R2,f,06/02/2017,16
2,P,R2,f,06/02/2017,14
2,P,R2,f,06/02/2017,16
2,P,R2,f,06/02/2017,16
3,P,R2,f,06/02/2017,2
3,P,R2,f,06/02/2017,2
3,P,R2,f,06/02/2017,10
4,P,R2,f,06/02/2017,10
4,P,R2,f,06/02/2017,16
4,P,R2,f,06/02/2017,20
5,P,R2,f,06/02/2017,8
5,P,R2,f,06/02/2017,8
5,P,R2,f,06/02/2017,12
6,P,R2,f,07/02/2017,0
6,P,R2,f,07/02/2017,0
6,P,R2,f,07/02/2017,4
7,P,R2,f,06/02/2017,16
7,P,R2,f,07/02/2017,0
7,P,R2,f,07/02/2017,6
8,P,R2,f,06/02/2017,8
8,P,R2,f,07/02/2017,0
8,P,R2,f,07/02/2017,4
9,P,R2,f,06/02/2017,8
9,P,R2,f,06/02/2017,8
9,P,R2,f,06/02/2017,2
10,P,R2,f,06/02/2017,14
10,P,R2,f,06/02/2017,22
10,P,R2,f,07/02/2017,4
1,M,R3,f,05/02/2017,22
1,M,R3,f,06/02/2017,4
1,M,R3,f,06/02/2017,22
2,M,R3,f,06/02/2017,12
2,M,R3,f,06/02/2017,16
2,M,R3,f,07/02/2017,2
3,M,R3,f,06/02/2017,2
3,M,R3,f,06/02/2017,6
3,M,R3,f,06/02/2017,12
4,M,R3,f,06/02/2017,4
4,M,R3,f,06/02/2017,6
4,M,R3,f,06/02/2017,6
5,M,R3,f,05/02/2017,20
5,M,R3,f,05/02/2017,22
5,M,R3,f,06/02/2017,2
6,M,R3,f,06/02/2017,2
6,M,R3,f,06/02/2017,10
6,M,R3,f,06/02/2017,16
7,M,R3,f,06/02/2017,2
7,M,R3,f,06/02/2017,6
7,M,R3,f,06/02/2017,16
8,M,R3,f,06/02/2017,10
8,M,R3,f,06/02/2017,10
8,M,R3,f,06/02/2017,14
1,P,R3,f,06/02/2017,16
1,P,R3,f,06/02/2017,18
1,P,R3,f,06/02/2017,18
2,P,R3,f,06/02/2017,4
2,P,R3,f,06/02/2017,6
2,P,R3,f,06/02/2017,10
3,P,R3,f,06/02/2017,2
3,P,R3,f,06/02/2017,16
3,P,R3,f,07/02/2017,2
4,P,R3,f,06/02/2017,2
4,P,R3,f,06/02/2017,4
4,P,R3,f,06/02/2017,8
5,P,R3,f,06/02/2017,2
5,P,R3,f,06/02/2017,2
5,P,R3,f,06/02/2017,10
6,P,R3,f,05/02/2017,20
6,P,R3,f,05/02/2017,22
6,P,R3,f,06/02/2017,0
7,P,R3,f,05/02/2017,16
7,P,R3,f,05/02/2017,18
7,P,R3,f,06/02/2017,2
8,P,R3,f,05/02/2017,18
8,P,R3,f,05/02/2017,22
8,P,R3,f,05/02/2017,22
9,P,R3,f,05/02/2017,18
9,P,R3,f,06/02/2017,2
9,P,R3,f,06/02/2017,6
10,P,R3,f,05/02/2017,14
10,P,R3,f,05/02/2017,22
10,P,R3,f,06/02/2017,2
1,M,R4,f,06/02/2017,0
1,M,R4,f,06/02/2017,2
1,M,R4,f,06/02/2017,8
2,M,R4,f,05/02/2017,22
2,M,R4,f,06/02/2017,10
2,M,R4,f,06/02/2017,16
3,M,R4,f,06/02/2017,0
3,M,R4,f,06/02/2017,4
3,M,R4,f,06/02/2017,10
4,M,R4,f,06/02/2017,10
4,M,R4,f,06/02/2017,16
4,M,R4,f,07/02/2017,2
5,M,R4,f,06/02/2017,4
5,M,R4,f,06/02/2017,6
5,M,R4,f,06/02/2017,8
6,M,R4,f,06/02/2017,0
6,M,R4,f,06/02/2017,6
6,M,R4,f,06/02/2017,16
7,M,R4,f,06/02/2017,0
7,M,R4,f,06/02/2017,2
7,M,R4,f,06/02/2017,8
8,M,R4,f,06/02/2017,8
8,M,R4,f,06/02/2017,14
8,M,R4,f,06/02/2017,20
9,M,R4,f,06/02/2017,0
9,M,R4,f,06/02/2017,4
9,M,R4,f,06/02/2017,16
10,M,R4,f,06/02/2017,12
10,M,R4,f,06/02/2017,16
10,M,R4,f,07/02/2017,0
1,P,R4,f,05/02/2017,18
1,P,R4,f,05/02/2017,20
1,P,R4,f,05/02/2017,22
2,P,R4,f,06/02/2017,2
2,P,R4,f,06/02/2017,4
2,P,R4,f,06/02/2017,8
3,P,R4,f,05/02/2017,16
3,P,R4,f,05/02/2017,22
3,P,R4,f,06/02/2017,2
4,P,R4,f,06/02/2017,2
4,P,R4,f,06/02/2017,8
