Vial,Treatment,Replicate,Sex,Death_date,Death_time
1,M,R1,f,06/02/2017,8
1,M,R1,f,06/02/2017,14
1,M,R1,f,07/02/2017,10
2,M,R1,f,06/02/2017,14
2,M,R1,f,06/02/2017,14
2,M,R1,f,06/02/2017,14
3,M,R1,f,06/02/2017,10
3,M,R1,f,06/02/2017,16
3,M,R1,f,06/02/2017,22
4,M,R1,f,06/02/2017,4
4,M,R1,f,06/02/2017,10
4,M,R1,f,07/02/2017,2
5,M,R1,f,06/02/2017,10
5,M,R1,f,06/02/2017,14
5,M,R1,f,07/02/2017,0
6,M,R1,f,06/02/2017,10
6,M,R1,f,06/02/2017,14
6,M,R1,f,07/02/2017,0
7,M,R1,f,06/02/2017,4
7,M,R1,f,06/02/2017,4
7,M,R1,f,06/02/2017,16
8,M,R1,f,05/02/2017,22
8,M,R1,f,06/02/2017,2
8,M,R1,f,06/02/2017,20
9,M,R1,f,05/02/2017,20
9,M,R1,f,06/02/2017,14
9,M,R1,f,06/02/2017,14
10,M,R1,f,06/02/2017,16
10,M,R1,f,06/02/2017,20
10,M,R1,f,06/02/2017,20
1,P,R1,f,06/02/2017,14
1,P,R1,f,06/02/2017,22
1,P,R1,f,07/02/2017,6
2,P,R1,f,06/02/2017,18
2,P,R1,f,07/02/2017,2
2,P,R1,f,07/02/2017,6
3,P,R1,f,06/02/2017,18
3,P,R1,f,07/02/2017,4
3,P,R1,f,07/02/2017,10
4,P,R1,f,06/02/2017,16
4,P,R1,f,07/02/2017,10
4,P,R1,f,07/02/2017,18
5,P,R1,f,07/02/2017,6
5,P,R1,f,07/02/2017,10
5,P,R1,f,07/02/2017,18
6,P,R1,f,06/02/2017,16
6,P,R1,f,07/02/2017,8
6,P,R1,f,08/02/2017,2
7,P,R1,f,07/02/2017,0
7,P,R1,f,07/02/2017,4
7,P,R1,f,08/02/2017,8
8,P,R1,f,06/02/2017,6
8,P,R1,f,06/02/2017,16
8,P,R1,f,06/02/2017,22
9,P,R1,f,05/02/2017,16
9,P,R1,f,06/02/2017,14
9,P,R1,f,07/02/2017,4
10,P,R1,f,06/02/2017,14
10,P,R1,f,06/02/2017,14
10,P,R1,f,06/02/2017,18
1,M,R2,f,06/02/2017,14
1,M,R2,f,06/02/2017,16
1,M,R2,f,07/02/2017,6
2,M,R2,f,06/02/2017,4
2,M,R2,f,06/02/2017,14
2,M,R2,f,08/02/2017,8
3,M,R2,f,06/02/2017,6
3,M,R2,f,06/02/2017,14
3,M,R2,f,07/02/2017,0
4,M,R2,f,06/02/2017,4
4,M,R2,f,06/02/2017,18
4,M,R2,f,07/02/2017,12
5,M,R2,f,06/02/2017,14
5,M,R2,f,06/02/2017,20
5,M,R2,f,07/02/2017,2
6,M,R2,f,07/02/2017,10
6,M,R2,f,NA,NA
6,M,R2,f,NA,NA
7,M,R2,f,06/02/2017,10
7,M,R2,f,06/02/2017,18
7,M,R2,f,07/02/2017,2
8,M,R2,f,06/02/2017,2
8,M,R2,f,06/02/2017,4
8,M,R2,f,06/02/2017,16
