?SELECTION,SEX,LINE,SAMPLE,CYCLE,VO2,VCO2,RQ,ACTIVITY,BODY_WEIGHT
Mono,F,M1,M1T1F,I,0.006920118,0.00549916,0.7946628,0.016686219,0.00103
Mono,F,M1,M1T1F,II,0.006154437,0.004907948,0.797465,0.013134308,0.00103
Mono,F,M1,M1T1F,III,0.004868928,0.003365227,0.6911638,0.004897422,0.00103
Mono,F,M1,M1T2F,I,0.006826689,0.005765944,0.8446179,0.005188063,0.00124
Mono,F,M1,M1T2F,II,0.006952658,0.005341475,0.7682638,0.011472573,0.00124
Mono,F,M1,M1T2F,III,0.004744501,0.00363629,0.766422,0.00476668,0.00124
Mono,F,M1,M1T3F,I,0.006088457,0.004780766,0.785218,0.009596985,0.00098
Mono,F,M1,M1T3F,II,0.00447597,0.003533066,0.7893409,0.006507727,0.00098
Mono,F,M1,M1T3F,III,0.00403032,0.00325419,0.8074272,0.005043506,0.00098
Mono,M,M1,M1T1M,I,0.006799892,0.006676696,0.9818826,0.046666221,0.00055
Mono,M,M1,M1T1M,II,0.005868094,0.005259629,0.8963096,0.041430924,0.00055
Mono,M,M1,M1T1M,III,0.003224427,0.003445416,1.068536,0.02739601,0.00055
Mono,M,M1,M1T2M,I,0.008501315,0.006868313,0.8079119,0.058935849,0.00065
Mono,M,M1,M1T2M,II,0.005177158,0.004435386,0.8567222,0.023371208,0.00065
Mono,M,M1,M1T2M,III,0.004323475,0.003039191,0.702951,0.00797242,0.00065
Mono,M,M1,M1T3M,I,0.007060769,0.006502233,0.9208959,0.019501841,0.00083
Mono,M,M1,M1T3M,II,0.004574334,0.004584997,1.002331,0.011903646,0.00083
Mono,M,M1,M1T3M,III,0.002813611,0.003060152,1.087624,0.005132972,0.00083
Mono,F,M2,M2T1F,I,0.006582865,0.005455568,0.8287528,0.006675311,0.00134
Mono,F,M2,M2T1F,II,0.007422798,0.006211282,0.8367845,0.010861325,0.00134
Mono,F,M2,M2T1F,III,0.006176508,0.005431088,0.8793137,0.035884411,0.00134
Mono,F,M2,M2T2F,I,0.01036142,0.008092752,0.7810466,0.031500984,0.00094
Mono,F,M2,M2T2F,II,0.007141564,0.006130692,0.8584523,0.040562973,0.00094
Mono,F,M2,M2T2F,III,0.006388758,0.005414978,0.8475792,0.013337026,0.00094
Mono,F,M2,M2T3F,I,0.006320459,0.005727859,0.9062411,0.009746674,0.00133
Mono,F,M2,M2T3F,II,0.006898486,0.006083376,0.8818421,0.010050153,0.00133
Mono,F,M2,M2T3F,III,0.006372905,0.005013539,0.786696,0.011300114,0.00133
Mono,M,M2,M2T1M,I,0.005295489,0.004699022,0.8873632,0.006571196,0.00073
Mono,M,M2,M2T1M,II,0.005690231,0.004702351,0.8263902,0.005226324,0.00073
Mono,M,M2,M2T1M,III,0.002926715,0.003085016,1.054088,0.005264681,0.00073
Mono,M,M2,M2T2M,I,0.007189313,0.005777658,0.8036454,0.048021177,0.00065
Mono,M,M2,M2T2M,II,0.004843962,0.004130926,0.852799,0.016217407,0.00065
Mono,M,M2,M2T2M,III,0.003185981,0.003174433,0.9963754,0.020378396,0.00065
Mono,M,M2,M2T3M,I,0.01026421,0.00829047,0.8077065,0.043255379,0.00085
Mono,M,M2,M2T3M,II,0.006844795,0.005650999,0.8255907,0.028505171,0.00085
Mono,M,M2,M2T3M,III,0.005827777,0.004340351,0.7447696,0.008062888,0.00085
