sex,treatment,line,time,fwt_mg,dwt_mg,Hex_frac,p_hex_frac,Aq_frac,p_Aq_frac,Protein,Protein_ug_mg,Glycogen,Glycogen_ug_mg,Chitin,Chitin_mg_mg
m,M,1,2,0.989,0.334,0.046,13.7725,0.027,8.0838,20.8333,62.3752,2,5.988,0.105,0.3144
m,M,1,2,1.008,0.362,0.032,8.8398,0.046,12.7072,21.3889,59.0853,7.7273,21.3461,0.098,0.2707
m,M,1,2,0.991,0.35,0.009,2.5714,0.061,17.4286,33.0556,94.4444,2.0909,5.974,0.12,0.3429
m,M,2,2,1.161,0.354,0.007,1.9774,0.036,10.1695,33.6111,94.9466,7.2727,20.5444,0.121,0.3418
m,M,2,2,0.961,0.281,0.01,3.5587,0.033,11.7438,27.5,97.8648,2.6364,9.3821,0.089,0.3167
m,M,2,2,1.118,0.355,0.009,2.5352,0.073,20.5634,28.8889,81.3772,2.6364,7.4264,0.085,0.2394
m,M,3,2,1.016,0.317,0.013,4.1009,0.037,11.6719,21.9444,69.2254,7.0909,22.3688,0.07,0.2208
m,M,3,2,0.995,0.337,0.04,11.8694,0.045,13.3531,19.7222,58.5229,7.5455,22.3901,0.071,0.2107
m,M,3,2,0.851,0.277,0.001,0.361,0.054,19.4946,13.8889,50.1404,1.4545,5.2511,0.077,0.278
m,M,4,2,1.077,0.293,0.001,0.3413,0.045,15.3584,20,68.2594,1.0909,3.7232,0.074,0.2526
m,M,4,2,1.199,0.361,0.002,0.554,0.065,18.0055,26.6667,73.8689,0.7273,2.0146,0.063,0.1745
m,M,4,2,1.083,0.342,0.015,4.386,0.049,14.3275,33.0556,96.6537,4.3636,12.7592,0.068,0.1988
f,M,1,2,1.459,0.482,0.031,6.4315,0.07,14.5228,36.9444,76.6482,6.0909,12.6367,0.099,0.2054
f,M,1,2,1.316,0.432,0.02,4.6296,0.064,14.8148,33.0556,76.5175,19.1818,44.4024,0.07,0.162
f,M,1,2,1.53,0.515,0.045,8.7379,0.081,15.7282,38.3333,74.4337,14.5455,28.2436,0.098,0.1903
f,M,2,2,1.627,0.561,0.092,16.3993,0.09,16.0428,45.8333,81.6993,5.7273,10.209,0.082,0.1462
f,M,2,2,1.709,0.579,0.085,14.6805,0.099,17.0984,55.8333,96.4306,13.4545,23.2376,0.073,0.1261
f,M,2,2,1.78,0.696,0.077,11.0632,0.131,18.8218,41.3889,59.4668,64.9091,93.2602,0.112,0.1609
f,M,3,2,1.596,0.567,0.058,10.2293,0.085,14.9912,43.8889,77.4054,28.6364,50.5051,0.085,0.1499
f,M,3,2,1.721,0.623,0.074,11.878,0.094,15.0883,41.9444,67.3266,30.1818,48.4459,0.082,0.1316
f,M,3,2,1.589,0.547,0.041,7.4954,0.089,16.2706,38.8889,71.0949,34.8182,63.653,0.092,0.1682
f,M,4,2,1.664,0.58,0.055,9.4828,0.067,11.5517,39.4444,68.0077,3.4545,5.9561,0.116,0.2
f,M,4,2,1.614,0.576,0.059,10.2431,0.047,8.1597,38.3333,66.5509,6.4545,11.2058,0.091,0.158
f,M,4,2,1.668,0.586,0.022,3.7543,0.089,15.1877,43.6111,74.4217,21.5455,36.767,0.115,0.1962
m,P,1,2,1.125,0.407,0.042,10.3194,0.055,13.5135,31.6667,77.8051,24.2727,59.6382,0.088,0.2162
m,P,1,2,1.065,0.366,0.029,7.9235,0.029,7.9235,26.6667,72.8597,12.4545,34.0288,0.099,0.2705
m,P,1,2,1.036,0.369,0.036,9.7561,0.032,8.6721,24.4444,66.2451,29.1818,79.0835,0.096,0.2602
m,P,2,2,1,0.324,0.023,7.0988,0.015,4.6296,24.4444,75.4458,14.4545,44.6128,0.093,0.287
